system:index,landsat_image_count,mean_LST_C,mean_NDVI,month,region,year,.geo
4_5_1,17,46.28646576333334,0.2824912452057785,6.0,Reference_1km,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6_0,16,42.54896960600162,0.4044827671667671,7.0,Urban,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_6_1,16,39.774795401030524,0.56676171360583,7.0,Reference_1km,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7_0,15,36.479086391763495,0.41258556160652277,8.0,Urban,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_7_1,15,34.912509927064995,0.6257789021890328,8.0,Reference_1km,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_8_0,11,34.968160984073506,0.4187889735272054,9.0,Urban,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_8_1,11,32.88794099371438,0.6260753961665346,9.0,Reference_1km,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_9_0,20,37.30877151766082,0.33980093519984367,10.0,Urban,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_9_1,20,36.005181506775074,0.468735864475158,10.0,Reference_1km,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_10_0,20,30.899859711886275,0.2675621157294363,11.0,Urban,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_10_1,20,31.03065530487804,0.355005701505136,11.0,Reference_1km,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_11_0,17,20.729674988366153,0.2659899944797004,12.0,Urban,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_11_1,17,21.06822955047428,0.4231429597832845,12.0,Reference_1km,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
